statefips,countyfips,metrofips,geo_area,year,initiative,total_industries,top5_concentration,top10_concentration,herfindahl_index
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,BioCrossroads,26,79.8728117969309,96.28362560166552,2352.6480743404104
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,Conexus,146,41.850096409865436,55.02982798619245,534.4677987920865
00,000,26900,Indianapolis-Carmel-Greenwood MSA,2023,TechPoint,42,70.84547492918068,85.59454989238984,1696.1615622691565
00,000,29020,Kokomo MSA,2023,Advanced & Traded Industries,143,72.01690832348574,80.43834421373396,3831.9505670769154
00,000,29020,Kokomo MSA,2023,AgriNovus,100,76.5464635522199,96.70418479898595,1601.6517279199015
00,000,29020,Kokomo MSA,2023,BioCrossroads,26,99.45180104071308,100.00000000000001,3430.992785214216
00,000,29020,Kokomo MSA,2023,Conexus,146,79.83918226124669,87.50685102073689,4864.9245575406985
00,000,29020,Kokomo MSA,2023,TechPoint,42,76.80628135958145,98.1535423819908,1415.2040475230588
00,000,29200,Lafayette-West Lafayette MSA,2023,Advanced & Traded Industries,143,43.56042590214583,55.5752695538052,704.0622497682182
00,000,29200,Lafayette-West Lafayette MSA,2023,AgriNovus,100,61.72094098718925,84.16286596663312,1044.4054375564785
00,000,29200,Lafayette-West Lafayette MSA,2023,BioCrossroads,26,75.43043514310848,98.11534192517388,1462.5328937567551
00,000,29200,Lafayette-West Lafayette MSA,2023,Conexus,146,50.637161746696975,63.82526789528862,931.8854604555285
00,000,29200,Lafayette-West Lafayette MSA,2023,TechPoint,42,68.99173415093887,91.39064693109073,1223.0436716586999
00,000,31140,Louisville/Jefferson County MSA,2023,Advanced & Traded Industries,143,32.063015004367266,47.71376640368553,328.2601066252185
00,000,31140,Louisville/Jefferson County MSA,2023,AgriNovus,100,41.146601927338025,55.08652227191655,693.0284350694604
00,000,31140,Louisville/Jefferson County MSA,2023,BioCrossroads,26,77.64801936455841,94.37275701689023,1872.785558984653
00,000,31140,Louisville/Jefferson County MSA,2023,Conexus,146,40.95753438610926,55.391478387455095,481.4430831826046
00,000,31140,Louisville/Jefferson County MSA,2023,TechPoint,42,67.47385613246746,89.90905314461956,1189.312702622398
00,000,33140,Michigan City-La Porte MSA,2023,Advanced & Traded Industries,143,36.45455969945804,49.8312544313205,376.8674429284345
00,000,33140,Michigan City-La Porte MSA,2023,AgriNovus,100,77.64931732169208,89.24324634441535,1678.4786942800902
00,000,33140,Michigan City-La Porte MSA,2023,BioCrossroads,26,93.67548740620623,99.99999999999999,2471.2540981669517
00,000,33140,Michigan City-La Porte MSA,2023,Conexus,146,41.11155876337223,54.43478956406798,451.6478535275495
00,000,33140,Michigan City-La Porte MSA,2023,TechPoint,42,71.48967950138959,96.18309412844062,1241.2576167262393
00,000,34620,Muncie MSA,2023,Advanced & Traded Industries,143,34.11402750134212,50.73437162573521,378.42320280149005
00,000,34620,Muncie MSA,2023,AgriNovus,100,65.11535918091343,86.80450839259808,1010.1948697481107
00,000,34620,Muncie MSA,2023,BioCrossroads,26,96.52528635763088,100,2287.7678909080028
00,000,34620,Muncie MSA,2023,Conexus,146,37.970079780151565,56.290618611752286,503.0683528818543
00,000,34620,Muncie MSA,2023,TechPoint,42,89.73015325686103,97.69305091984646,2616.877048213716
00,000,43780,South Bend-Mishawaka MSA,2023,Advanced & Traded Industries,143,22.248876681773186,36.09432406021635,218.40707803824873
00,000,43780,South Bend-Mishawaka MSA,2023,AgriNovus,100,52.92241298027582,76.6234799992654,753.5687020909475
00,000,43780,South Bend-Mishawaka MSA,2023,BioCrossroads,26,79.64602219648957,96.65390500675588,1719.4200886106091
00,000,43780,South Bend-Mishawaka MSA,2023,Conexus,146,25.279641240264585,39.9174728789805,256.55545555594165
00,000,43780,South Bend-Mishawaka MSA,2023,TechPoint,42,68.76704905078813,89.52725848370213,1183.9536315931482
00,000,45460,Terre Haute MSA,2023,Advanced & Traded Industries,143,34.28077507169402,47.99952340631944,350.4057676457837
00,000,45460,Terre Haute MSA,2023,AgriNovus,100,58.95463416660331,81.67475096802916,980.9991172917029
00,000,45460,Terre Haute MSA,2023,BioCrossroads,26,98.0655202884347,100,4122.465927327591
00,000,45460,Terre Haute MSA,2023,Conexus,146,38.60418607725175,52.97341443341394,437.35935713786535
00,000,45460,Terre Haute MSA,2023,TechPoint,42,79.34080811275815,97.66490174590473,1714.5664449545457
18,000,00000,Indiana,2023,Advanced & Traded Industries,143,21.806343660341604,35.940264032129875,205.89486087855536
18,000,00000,Indiana,2023,AgriNovus,100,26.57963677565448,44.13968688761137,290.84150491416193
18,000,00000,Indiana,2023,BioCrossroads,26,71.831422139295,93.08088341882589,1383.7916579585233
18,000,00000,Indiana,2023,Conexus,146,28.57411887081885,41.46524927007515,260.73035823425965
18,000,00000,Indiana,2023,TechPoint,42,59.979156077819454,76.8063279924927,1146.8635781937442
