statefips,countyfips,metrofips,display_level,geo_area,year,initiative,naics_title,naics_code,jobs
0,000,00000,3,United States,2024,Conexus,Aerospace Product and Parts Manufacturing,3364,561310.38364336
0,000,00000,3,United States,2024,Conexus,Motor Vehicle Parts Manufacturing,3363,558625.9869397001
0,000,00000,3,United States,2024,Conexus,Animal Slaughtering and Processing,3116,557676.78377746
0,000,00000,2,United States,2024,Finance & Insurance,Commercial Banking,522110,1376502.63418
0,000,00000,2,United States,2024,Finance & Insurance,Insurance Agencies and Brokerages,524210,1310683.3347
0,000,00000,2,United States,2024,Finance & Insurance,Portfolio Management and Investment Advice,523940,514179.123464
0,000,00000,2,United States,2024,Finance & Insurance,Direct Property and Casualty Insurance Carriers,524126,483102.458264
0,000,00000,2,United States,2024,Finance & Insurance,Direct Health and Medical Insurance Carriers,524114,476894.318876
0,000,00000,2,United States,2024,Finance & Insurance,Investment Banking and Securities Intermediation,523150,457341.458469
0,000,00000,2,United States,2024,Finance & Insurance,Credit Unions,522130,310772.680841
0,000,00000,2,United States,2024,Finance & Insurance,Third-Party Administration of Insurance and Pension Funds,524292,230423.31685
0,000,00000,2,United States,2024,Finance & Insurance,Direct Life Insurance Carriers,524113,225000.846946
0,000,00000,2,United States,2024,Finance & Insurance,Real Estate Credit,522292,179734.87202
0,000,00000,2,United States,2024,Healthcare,General Medical and Surgical Hospitals,622110,5120255.20508
0,000,00000,2,United States,2024,Healthcare,Offices of Physicians (except Mental Health Specialists),621111,2880904.87064
0,000,00000,2,United States,2024,Healthcare,Home Health Care Services,621610,1762917.75943
0,000,00000,2,United States,2024,Healthcare,Nursing Care Facilities (Skilled Nursing Facilities),623110,1514614.03868
0,000,00000,2,United States,2024,Healthcare,Offices of Dentists,621210,1043459.44011
0,000,00000,2,United States,2024,Healthcare,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,493091.001161
0,000,00000,2,United States,2024,Healthcare,Residential Intellectual and Developmental Disability Facilities,623210,409493.068458
0,000,00000,2,United States,2024,Healthcare,Outpatient Mental Health and Substance Abuse Centers,621420,313025.562571
0,000,00000,2,United States,2024,Healthcare,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,276545.413338
0,000,00000,2,United States,2024,Healthcare,Residential Mental Health and Substance Abuse Facilities,623220,265541.73655
0,000,00000,2,United States,2024,TechPoint,Computer Systems Design Services,541512,1150882.46214
0,000,00000,2,United States,2024,TechPoint,Custom Computer Programming Services,541511,1092558.78895
0,000,00000,2,United States,2024,TechPoint,Software Publishers,513210,638498.362604
0,000,00000,2,United States,2024,TechPoint,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",518210,484245.571029
0,000,00000,2,United States,2024,TechPoint,Wired Telecommunications Carriers,517111,455448.871389
0,000,00000,2,United States,2024,TechPoint,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,227886.933305
0,000,00000,2,United States,2024,TechPoint,Semiconductor and Related Device Manufacturing,334413,204072.849895
0,000,00000,2,United States,2024,TechPoint,Other Computer Related Services,541519,136554.008188
0,000,00000,2,United States,2024,TechPoint,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",334511,122795.344887
0,000,00000,2,United States,2024,TechPoint,Electronic and Precision Equipment Repair and Maintenance,811210,106894.960966
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Medical Equipment and Supplies Manufacturing,3391,4832.0784478
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Pharmaceutical and Medicine Manufacturing,3254,3304.296116485
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Plastics Product Manufacturing,3261,753.166781191
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,662.30518726752
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,617.085633956227
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Grocery and Related Product Merchant Wholesalers,4244,577.4140899280001
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Depository Credit Intermediation,5221,571.8380032520281
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Management of Companies and Enterprises,5511,568.9042449
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Professional and Commercial Equipment and Supplies Merchant Wholesalers,4234,423.586346845826
00,000,14020,2,Bloomington MSA,2024,Advanced & Traded Industries,Computer Systems Design and Related Services,5415,414.10814717284
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Other Grocery and Related Products Merchant Wholesalers,424490,251.506534725
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Wineries,312130,181.598370039
00,000,14020,3,Bloomington MSA,2024,AgriNovus,General Line Grocery Merchant Wholesalers,424410,153.21191171
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Sawmills,321113,96.8333333333
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Breweries,312120,94.0583126924
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Confectionery Merchant Wholesalers,424450,93.2523213375
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Fresh Fruit and Vegetable Merchant Wholesalers,424480,79.4433221555
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Crop Production,111000,67.8396514645
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Pharmaceutical Preparation Manufacturing,325412,65.8198366372
00,000,14020,3,Bloomington MSA,2024,AgriNovus,Beer and Ale Merchant Wholesalers,424810,34.8414398935
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Surgical and Medical Instrument Manufacturing,339112,4832.0784478
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Pharmaceutical Preparation Manufacturing,325412,3290.99183186
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,388.82666924717097
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,153.43704941235302
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Drugs and Druggists' Sundries Merchant Wholesalers,424210,27.354576794127
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Medical Laboratories,621511,18.8470016332
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Farm Supplies Merchant Wholesalers,424910,16.5828231250276
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Research and Development in Biotechnology (except Nanobiotechnology),541714,14.3454900449
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Biological Product (except Diagnostic) Manufacturing,325414,13.304284625
00,000,14020,2,Bloomington MSA,2024,BioCrossroads,Analytical Laboratory Instrument Manufacturing,334516,3.11921516982
00,000,14020,3,Bloomington MSA,2024,Conexus,Medical Equipment and Supplies Manufacturing,3391,4832.0784478
00,000,14020,3,Bloomington MSA,2024,Conexus,Pharmaceutical and Medicine Manufacturing,3254,3304.296116485
00,000,14020,3,Bloomington MSA,2024,Conexus,Plastics Product Manufacturing,3261,753.166781191
00,000,14020,3,Bloomington MSA,2024,Conexus,Grocery and Related Product Merchant Wholesalers,4244,577.4140899280001
00,000,14020,3,Bloomington MSA,2024,Conexus,Professional and Commercial Equipment and Supplies Merchant Wholesalers,4234,423.586346845826
00,000,14020,3,Bloomington MSA,2024,Conexus,Specialized Freight Trucking,4842,314.1753907367
00,000,14020,3,Bloomington MSA,2024,Conexus,Beverage Manufacturing,3121,275.6566827314
00,000,14020,3,Bloomington MSA,2024,Conexus,Other Nonmetallic Mineral Product Manufacturing,3279,212.485110402
00,000,14020,3,Bloomington MSA,2024,Conexus,Miscellaneous Durable Goods Merchant Wholesalers,4239,210.812657010428
00,000,14020,3,Bloomington MSA,2024,Conexus,Couriers and Express Delivery Services,4921,191.786521401
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Insurance Agencies and Brokerages,524210,654.897678168
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Commercial Banking,522110,348.44537344
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Credit Unions,522130,222.911154963
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Direct Property and Casualty Insurance Carriers,524126,101.529652644
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Portfolio Management and Investment Advice,523940,85.25
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Investment Banking and Securities Intermediation,523150,58.3419121418
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Real Estate Credit,522292,44.5396669844
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,"International, Secondary Market, and All Other Nondepository Credit Intermediation",522299,34.433153529
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,Direct Life Insurance Carriers,524113,26.945198033
00,000,14020,2,Bloomington MSA,2024,Finance & Insurance,"Trust, Fiduciary, and Custody Activities",523991,22.8884366665
00,000,14020,2,Bloomington MSA,2024,Healthcare,General Medical and Surgical Hospitals,622110,2881.43681111
00,000,14020,2,Bloomington MSA,2024,Healthcare,Offices of Physicians (except Mental Health Specialists),621111,1645.78590435
00,000,14020,2,Bloomington MSA,2024,Healthcare,Nursing Care Facilities (Skilled Nursing Facilities),623110,695.58703262
00,000,14020,2,Bloomington MSA,2024,Healthcare,Offices of Dentists,621210,445.291025943
00,000,14020,2,Bloomington MSA,2024,Healthcare,Outpatient Mental Health and Substance Abuse Centers,621420,407.877045331
00,000,14020,2,Bloomington MSA,2024,Healthcare,Home Health Care Services,621610,371.579810016
00,000,14020,2,Bloomington MSA,2024,Healthcare,Specialty (except Psychiatric and Substance Abuse) Hospitals,622310,357.355794084
00,000,14020,2,Bloomington MSA,2024,Healthcare,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,348.480899003
00,000,14020,2,Bloomington MSA,2024,Healthcare,Residential Intellectual and Developmental Disability Facilities,623210,281.060828434
00,000,14020,2,Bloomington MSA,2024,Healthcare,Psychiatric and Substance Abuse Hospitals,622210,226.915831074
00,000,14020,2,Bloomington MSA,2024,TechPoint,Custom Computer Programming Services,541511,262.648054642
00,000,14020,2,Bloomington MSA,2024,TechPoint,Wired Telecommunications Carriers,517111,261.196648488
00,000,14020,2,Bloomington MSA,2024,TechPoint,Computer Systems Design Services,541512,149.672492535
00,000,14020,2,Bloomington MSA,2024,TechPoint,Book Publishers,513130,94.8535289949
00,000,14020,2,Bloomington MSA,2024,TechPoint,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,334220,79.5195822957
00,000,14020,2,Bloomington MSA,2024,TechPoint,Software Publishers,513210,74.8333333333
00,000,14020,2,Bloomington MSA,2024,TechPoint,Wireless Telecommunications Carriers (except Satellite),517112,42.7314737752
00,000,14020,2,Bloomington MSA,2024,TechPoint,Other Measuring and Controlling Device Manufacturing,334519,34.2254638017
00,000,14020,2,Bloomington MSA,2024,TechPoint,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",518210,34.1284389608
00,000,14020,2,Bloomington MSA,2024,TechPoint,Electronic and Precision Equipment Repair and Maintenance,811210,24.3299202301
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,"Management, Scientific, and Technical Consulting Services",5416,77605.990991
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,Management of Companies and Enterprises,5511,67313.42648131041
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,Depository Credit Intermediation,5221,60938.66875134
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,Warehousing and Storage,4931,59667.9065655675
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,Computer Systems Design and Related Services,5415,59142.61618771999
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,57068.946724589994
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,General Freight Trucking,4841,49323.12981764
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,40054.682729819
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,Grocery and Related Product Merchant Wholesalers,4244,36564.662800568
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Advanced & Traded Industries,Insurance Carriers,5241,36335.345638114
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Commercial Bakeries,311812,12873.0465246
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Other Grocery and Related Products Merchant Wholesalers,424490,11885.8534091
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Meat Processed from Carcasses,311612,10443.5330224
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,General Line Grocery Merchant Wholesalers,424410,7387.14186428
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Nonchocolate Confectionery Manufacturing,311340,5567.67694274
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Meat and Meat Product Merchant Wholesalers,424470,5406.56570436
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Perishable Prepared Food Manufacturing,311991,5180.97847297
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,424820,4419.0238099
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,Retail Bakeries,311811,4001.35647143
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,AgriNovus,All Other Miscellaneous Food Manufacturing,311999,3727.42010962
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Pharmaceutical Preparation Manufacturing,325412,18231.09941
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,11071.9154846304
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Drugs and Druggists' Sundries Merchant Wholesalers,424210,10253.1002276262
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,10037.3378607207
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Surgical and Medical Instrument Manufacturing,339112,6111.0891977
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Medical Laboratories,621511,5650.58246771
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Research and Development in Biotechnology (except Nanobiotechnology),541714,3066.97486043
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Medicinal and Botanical Manufacturing,325411,2655.40925777
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Dental Equipment and Supplies Manufacturing,339114,1542.5448563
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,BioCrossroads,Wet Corn Milling and Starch Manufacturing,311221,1452.64024056
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Warehousing and Storage,4931,59667.9065655675
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,General Freight Trucking,4841,49323.12981764
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Grocery and Related Product Merchant Wholesalers,4244,36564.662800568
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Couriers and Express Delivery Services,4921,33931.4633724
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Plastics Product Manufacturing,3261,29227.710933069
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,"Machinery, Equipment, and Supplies Merchant Wholesalers",4238,29149.88873746
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Professional and Commercial Equipment and Supplies Merchant Wholesalers,4234,28385.420808079
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Pharmaceutical and Medicine Manufacturing,3254,21147.787495055996
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Bakeries and Tortilla Manufacturing,3118,21097.711521152
00,000,16980,3,Chicago-Naperville-Elgin MSA,2024,Conexus,Freight Transportation Arrangement,4885,19483.8161192
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Commercial Banking,522110,55415.1500833
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Insurance Agencies and Brokerages,524210,36008.7804912
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Portfolio Management and Investment Advice,523940,18722.2500733
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Investment Banking and Securities Intermediation,523150,16247.6517407
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Direct Property and Casualty Insurance Carriers,524126,14831.8861435
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Third-Party Administration of Insurance and Pension Funds,524292,11056.9660492
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Direct Health and Medical Insurance Carriers,524114,9682.37536876
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,All Other Insurance Related Activities,524298,8385.58177037
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Commodity Contracts Intermediation,523160,7766.08210587
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Finance & Insurance,Mortgage and Nonmortgage Loan Brokers,522310,4758.80361949
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,General Medical and Surgical Hospitals,622110,179455.685178
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Offices of Physicians (except Mental Health Specialists),621111,65997.632927
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Home Health Care Services,621610,54634.7593707
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Nursing Care Facilities (Skilled Nursing Facilities),623110,45598.28788
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Offices of Dentists,621210,30067.2190101
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",621340,18733.219866
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Offices of Mental Health Practitioners (except Physicians),621330,9678.57745657
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Residential Intellectual and Developmental Disability Facilities,623210,7702.85934815
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Outpatient Mental Health and Substance Abuse Centers,621420,7534.50046028
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,Healthcare,Medical Laboratories,621511,5650.58246771
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Custom Computer Programming Services,541511,28584.1464637
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Computer Systems Design Services,541512,26012.1929905
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",518210,10995.4231816
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Software Publishers,513210,10178.3589855
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,423430,9274.38280821
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Wired Telecommunications Carriers,517111,8349.05075814
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Periodical Publishers,513120,3770.48905383
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Electronic and Precision Equipment Repair and Maintenance,811210,3604.76128726
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,Other Computer Related Services,541519,3407.07537511
00,000,16980,2,Chicago-Naperville-Elgin MSA,2024,TechPoint,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",334511,3164.60693304
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Management of Companies and Enterprises,5511,40183.293763717
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Warehousing and Storage,4931,20276.11680558982
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Insurance Carriers,5241,15164.773850258
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Depository Credit Intermediation,5221,15005.39246128
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Computer Systems Design and Related Services,5415,12883.720091868
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Aerospace Product and Parts Manufacturing,3364,11562.608742955148
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Couriers and Express Delivery Services,4921,11281.2785163
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,"Architectural, Engineering, and Related Services",5413,10647.2296467041
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,Motor Vehicle Parts Manufacturing,3363,9567.223566297998
00,000,17140,2,Cincinnati MSA,2024,Advanced & Traded Industries,"Agencies, Brokerages, and Other Insurance Related Activities",5242,9225.6214340408
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Meat Processed from Carcasses,311612,2401.89861883
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Flavoring Syrup and Concentrate Manufacturing,311930,2217.33295785
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Perishable Prepared Food Manufacturing,311991,1979.13450621
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Breweries,312120,1877.93053026
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,General Line Grocery Merchant Wholesalers,424410,1832.91672951
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Other Grocery and Related Products Merchant Wholesalers,424490,1757.27235051
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Packaged Frozen Food Merchant Wholesalers,424420,1450.06245276
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Commercial Bakeries,311812,1348.69232687
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Spice and Extract Manufacturing,311942,1277.02200414
00,000,17140,3,Cincinnati MSA,2024,AgriNovus,Crop Production,111000,1223.94100122
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",541715,3294.32306706495
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Pharmaceutical Preparation Manufacturing,325412,2393.70769441
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Medical Laboratories,621511,2298.19428929
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",423450,2273.7477212290196
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Drugs and Druggists' Sundries Merchant Wholesalers,424210,1578.56131664382
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Research and Development in Biotechnology (except Nanobiotechnology),541714,648.828807705
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Surgical and Medical Instrument Manufacturing,339112,407.917342609
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Electromedical and Electrotherapeutic Apparatus Manufacturing,334510,318.97652014
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Analytical Laboratory Instrument Manufacturing,334516,305.831255366
00,000,17140,2,Cincinnati MSA,2024,BioCrossroads,Surgical Appliance and Supplies Manufacturing,339113,266.93863906
00,000,17140,3,Cincinnati MSA,2024,Conexus,Warehousing and Storage,4931,20276.11680558982
00,000,17140,3,Cincinnati MSA,2024,Conexus,Aerospace Product and Parts Manufacturing,3364,11562.60874295515
