cicp_initiative,cohort_year,Years_Since_Start,Establishments,Employment,Initial_Establishments,Survival_Rate
Conexus,2016,2,531,4151.416666666667,589,90.15280135823429
Conexus,2017,2,539,3886.75,599,89.98330550918196
Conexus,2018,2,617,3035.3333333333335,727,84.86932599724896
Conexus,2019,2,610,4994.333333333333,689,88.53410740203192
Conexus,2020,2,614,4722.583333333333,691,88.85672937771346
Other,2015,2,4311,22920.583333333332,4311,100
Other,2016,2,4232,23309.916666666668,4756,88.98233809924307
Other,2017,2,4210,23279,4896,85.98856209150327
Other,2018,2,4501,21217.75,5234,85.99541459686664
Other,2019,2,4674,23470.416666666668,5359,87.21776450830379
Other,2020,2,4522,24827.5,5227,86.51233977424909
TechPoint,2015,2,289,691.6666666666666,289,100
TechPoint,2016,2,266,641.5833333333334,298,89.26174496644296
TechPoint,2017,2,259,663.4166666666666,288,89.93055555555556
TechPoint,2018,2,244,991.25,283,86.21908127208481
TechPoint,2019,2,341,837.1666666666666,386,88.3419689119171
TechPoint,2020,2,385,1091.8333333333333,448,85.9375
Total,2015,2,6513,30887.75,6513,100
Total,2016,2,6280,31703.75,7010,89.58630527817404
Total,2017,2,6143,30646.333333333332,7045,87.19659332860185
Total,2018,2,6576,28528,7607,86.446693834626
Total,2019,2,7026,33309.916666666664,7987,87.96794791536246
Total,2020,2,6896,34389.583333333336,7931,86.94994326062287
Advanced & Traded Industries,2014,3,1680,8301.583333333334,1680,100
Advanced & Traded Industries,2015,3,1853,7964.583333333333,2076,89.25818882466281
Advanced & Traded Industries,2016,3,1694,8312.583333333334,2147,78.90079180251513
Advanced & Traded Industries,2017,3,1556,7051.5,2056,75.68093385214007
Advanced & Traded Industries,2018,3,1691,7615.333333333333,2268,74.55908289241623
Advanced & Traded Industries,2019,3,1889,10098.833333333334,2515,75.1093439363817
AgriNovus,2014,3,188.739517628,1778.37974827475,188.739517628,100
AgriNovus,2015,3,182.744836118,749.471128213,197.053184913,92.73883911020407
AgriNovus,2016,3,156.304638221,1533.16144629125,180.612987016,86.54119551610839
AgriNovus,2017,3,130.525788505,652.0926451574167,159.647000627,81.75899828519864
AgriNovus,2018,3,158.525788505,1101.947310122,193.905380341,81.75419796305712
AgriNovus,2019,3,205,1178.1666666666667,221.174397035,92.68703916374169
BioX,2014,3,49.278,234.33866666666665,49.278,100
BioX,2015,3,67.818,290.19533333333334,67.232,100.87160875773439
BioX,2016,3,56.558,367.33566666666667,55.097,102.65168702470189
BioX,2017,3,54.802,333.5903333333333,55.541,98.66945139626583
BioX,2018,3,59.915,237.14483333333334,78.68,76.15022877478393
BioX,2019,3,110,365.5833333333333,117.724,93.43889096530869
Conexus,2014,3,473,4548.5,473,100
Conexus,2015,3,481,3652.3333333333335,528,91.09848484848484
Conexus,2016,3,470,4412.833333333333,589,79.79626485568761
Conexus,2017,3,468,3872.3333333333335,599,78.13021702838063
Conexus,2018,3,535,3388.8333333333335,727,73.59009628610728
Conexus,2019,3,536,5349.583333333333,689,77.79390420899854
Other,2014,3,3535,22351.25,3535,100
Other,2015,3,3783,22243.333333333332,4311,87.75226165622826
Other,2016,3,3677,23322.916666666668,4756,77.31286795626578
Other,2017,3,3651,21423.416666666668,4896,74.57107843137256
Other,2018,3,3921,23690.416666666668,5234,74.91402369124953
Other,2019,3,4023,24116.416666666668,5359,75.06997574174287
TechPoint,2014,3,220,799.0833333333334,220,100
TechPoint,2015,3,260,691.1666666666666,289,89.96539792387543
TechPoint,2016,3,234,728.8333333333334,298,78.52348993288591
TechPoint,2017,3,203,633.0833333333334,288,70.48611111111111
TechPoint,2018,3,197,1125.3333333333333,283,69.6113074204947
TechPoint,2019,3,282,925.8333333333334,386,73.05699481865285
Total,2014,3,5333,30980.416666666668,5333,100
Total,2015,3,5753,30607.416666666668,6513,88.33103024719792
Total,2016,3,5461,32001.083333333332,7010,77.90299572039943
Total,2017,3,5283,28783.583333333332,7045,74.98935415188078
Total,2018,3,5700,31729.5,7607,74.93098461942948
Total,2019,3,6050,34773.083333333336,7987,75.74809064730186
Advanced & Traded Industries,2013,4,1340,8107.916666666667,1340,100
Advanced & Traded Industries,2014,4,1514,8845.916666666666,1680,90.11904761904762
Advanced & Traded Industries,2015,4,1638,8031,2076,78.90173410404624
Advanced & Traded Industries,2016,4,1451,8259.666666666666,2147,67.58267349790405
Advanced & Traded Industries,2017,4,1388,7912.916666666667,2056,67.50972762645915
Advanced & Traded Industries,2018,4,1524,7842.333333333333,2268,67.1957671957672
AgriNovus,2013,4,124.117501548,758.16167445075,124.117501548,100
AgriNovus,2014,4,179.739517628,1875.4065616101666,188.739517628,95.23152325855854
AgriNovus,2015,4,167.557699445,799.8345444230833,197.053184913,85.03171340213434
AgriNovus,2016,4,149.051576997,1486.48390017025,180.612987016,82.5253928078804
AgriNovus,2017,4,127.652319117,864.324387738,159.647000627,79.95910891883743
AgriNovus,2018,4,174,1501.8333333333333,193.905380341,89.73448786929242
BioX,2013,4,50.28,241.61516666666668,50.28,100
BioX,2014,4,51.494,208.57066666666665,49.278,104.49693575226266
BioX,2015,4,62.188,303.29083333333335,67.232,92.49762018086626
BioX,2016,4,49.253,383.19416666666666,55.097,89.39325190119244
BioX,2017,4,46.573,334.9501666666667,55.541,83.85336958283071
BioX,2018,4,67,312.5,78.68,85.155058464667
Conexus,2013,4,400,4395,400,100
Conexus,2014,4,436,4889.916666666667,473,92.17758985200845
Conexus,2015,4,436,3723.25,528,82.57575757575758
Conexus,2016,4,421,4438.083333333333,589,71.47707979626486
Conexus,2017,4,430,4583.166666666667,599,71.78631051752922
Conexus,2018,4,505,3655.5,727,69.46354883081155
Other,2013,4,3048,20272.75,3048,100
Other,2014,4,3154,21894,3535,89.22206506364923
Other,2015,4,3359,21786.5,4311,77.91695662259337
Other,2016,4,3216,21354.5,4756,67.61984861227923
Other,2017,4,3278,23270.916666666668,4896,66.95261437908496
Other,2018,4,3501,24343.833333333332,5234,66.8895682078716
TechPoint,2013,4,160,626.6666666666666,160,100
TechPoint,2014,4,193,834,220,87.72727272727273
TechPoint,2015,4,224,678.25,289,77.50865051903114
TechPoint,2016,4,196,734.25,298,65.77181208053692
TechPoint,2017,4,173,701,288,60.06944444444444
TechPoint,2018,4,175,1014.0833333333334,283,61.83745583038869
Total,2013,4,4467,28668.416666666668,4467,100
Total,2014,4,4778,31044.833333333332,5333,89.59309956872305
Total,2015,4,5106,30217.916666666668,6513,78.39705204974666
Total,2016,4,4753,29958.083333333332,7010,67.80313837375178
Total,2017,4,4737,31498.666666666668,7045,67.23917672107878
Total,2018,4,5126,32805.333333333336,7607,67.38530301038517
Advanced & Traded Industries,2012,5,1260,9185.333333333334,1260,100
Advanced & Traded Industries,2013,5,1210,8598.166666666666,1340,90.29850746268657
Advanced & Traded Industries,2014,5,1364,9390.666666666666,1680,81.19047619047619
Advanced & Traded Industries,2015,5,1432,7434.916666666667,2076,68.97880539499036
Advanced & Traded Industries,2016,5,1314,8749.25,2147,61.201676758267354
Advanced & Traded Industries,2017,5,1221,8010.75,2056,59.38715953307393
AgriNovus,2012,5,131.162152139,696.4644829590001,131.162152139,100
AgriNovus,2013,5,113.990970936,813.2923118349166,124.117501548,91.84117430201108
AgriNovus,2014,5,165.739517628,1876.7102859870834,188.739517628,87.8138927718718
AgriNovus,2015,5,154.996289426,737.0431153265833,197.053184913,78.65708412397986
AgriNovus,2016,5,141.051576997,1518.1884741994168,180.612987016,78.09603247661512
AgriNovus,2017,5,138,1158.75,159.647000627,86.44070947654309
BioX,2012,5,37.608,341.99058333333335,37.608,100
BioX,2013,5,54.173,243.03791666666666,50.28,107.74264120922832
BioX,2014,5,45.971000000000004,136.427,49.278,93.28909452494014
BioX,2015,5,50.56,269.5115,67.232,75.2022846263684
BioX,2016,5,45.207,381.37491666666665,55.097,82.0498393741946
BioX,2017,5,49,247,55.541,88.22311445598747
Conexus,2012,5,361,5304.666666666667,361,100
Conexus,2013,5,360,4810.916666666667,400,90
Conexus,2014,5,403,4944.833333333333,473,85.20084566596195
Conexus,2015,5,390,3393.8333333333335,528,73.86363636363636
Conexus,2016,5,389,4732.916666666667,589,66.04414261460101
Conexus,2017,5,388,4811.583333333333,599,64.77462437395658
Other,2012,5,2908,25623.75,2908,100
Other,2013,5,2756,19798.833333333332,3048,90.41994750656168
Other,2014,5,2806,21663.25,3535,79.37765205091938
Other,2015,5,2992,18777.666666666668,4311,69.40385061470657
Other,2016,5,2972,22606.583333333332,4756,62.48948696383515
Other,2017,5,2970,24785.916666666668,4896,60.66176470588235
TechPoint,2012,5,160,534.9166666666666,160,100
TechPoint,2013,5,131,669.75,160,81.875
TechPoint,2014,5,169,943.9166666666666,220,76.81818181818181
TechPoint,2015,5,191,613.75,289,66.08996539792388
TechPoint,2016,5,175,750.25,298,58.7248322147651
TechPoint,2017,5,158,616.5,288,54.861111111111114
Total,2012,5,4268,35288.083333333336,4268,100
Total,2013,5,4036,28661.916666666668,4467,90.35146630848445
Total,2014,5,4271,31354.083333333332,5333,80.08625539096194
Total,2015,5,4527,26604.916666666668,6513,69.5071395670198
Total,2016,5,4367,31684.416666666668,7010,62.29671897289586
Total,2017,5,4276,33203.666666666664,7045,60.695528743789914
Advanced & Traded Industries,2011,6,1230,9545.416666666666,1230,100
Advanced & Traded Industries,2012,6,1159,9809.916666666666,1260,91.98412698412697
Advanced & Traded Industries,2013,6,1085,8631.333333333334,1340,80.97014925373134
Advanced & Traded Industries,2014,6,1201,9067,1680,71.48809523809524
Advanced & Traded Industries,2015,6,1327,7600,2076,63.921001926782274
Advanced & Traded Industries,2016,6,1181,8810.916666666666,2147,55.00698649278063
AgriNovus,2011,6,129.042547933,1270.8954603759166,129.042547933,100
AgriNovus,2012,6,124.162152139,638.1517581265833,131.162152139,94.66309458495184
AgriNovus,2013,6,108.990970936,928.338738495,124.117501548,87.81273356026256
AgriNovus,2014,6,148.678911567,1754.5509782684167,188.739517628,78.77465908334138
AgriNovus,2015,6,148.996289426,788.3229096184167,197.053184913,75.61222087924264
AgriNovus,2016,6,145,1640.4166666666667,180.612987016,80.28215600418305
BioX,2011,6,35.169,176.23341666666667,35.169,100
BioX,2012,6,39.534,398.08775,37.608,105.12125079770263
BioX,2013,6,46.314,239.65808333333334,50.28,92.11217183770883
BioX,2014,6,34.096000000000004,145.28291666666667,49.278,69.19111976947117
BioX,2015,6,47.56,268.64566666666667,67.232,70.74012375059496
BioX,2016,6,45,486.5,55.097,81.67413833784053
Conexus,2011,6,378,5955.416666666667,378,100
Conexus,2012,6,334,5913.416666666667,361,92.5207756232687
Conexus,2013,6,337,4987.166666666667,400,84.25
Conexus,2014,6,362,4697.833333333333,473,76.53276955602537
Conexus,2015,6,363,3482.6666666666665,528,68.75
Conexus,2016,6,363,4830.5,589,61.62988115449915
Other,2011,6,2613,21890.166666666668,2613,100
Other,2012,6,2644,24793.583333333332,2908,90.92159559834938
Other,2013,6,2468,19701.333333333332,3048,80.97112860892388
Other,2014,6,2522,19737.833333333332,3535,71.34370579915135
Other,2015,6,2739,19786.333333333332,4311,63.535142658315934
Other,2016,6,2692,22794.916666666668,4756,56.602186711522286
TechPoint,2011,6,160,800.0833333333334,160,100
TechPoint,2012,6,147,563.5,160,91.875
TechPoint,2013,6,106,663.1666666666667,160,66.25
TechPoint,2014,6,145,929.6666666666666,220,65.9090909090909
TechPoint,2015,6,173,656.25,289,59.86159169550172
TechPoint,2016,6,161,839.25,298,54.0268456375839
Total,2011,6,3917,31782.666666666668,3917,100
Total,2012,6,3898,35042.583333333336,4268,91.33083411433927
Total,2013,6,3617,28584.916666666668,4467,80.9715692858742
Total,2014,6,3814,29097.416666666668,5333,71.51696981061316
Total,2015,6,4167,27779.333333333332,6513,63.97973284200829
Total,2016,6,3959,31954,7010,56.47646219686162
Advanced & Traded Industries,2010,7,1107,8876.166666666666,1107,100
Advanced & Traded Industries,2011,7,1139,9689.5,1230,92.60162601626017
Advanced & Traded Industries,2012,7,1061,10194.416666666666,1260,84.2063492063492
Advanced & Traded Industries,2013,7,964,7978.083333333333,1340,71.94029850746269
Advanced & Traded Industries,2014,7,1130,9529.583333333334,1680,67.26190476190477
Advanced & Traded Industries,2015,7,1198,7583.333333333333,2076,57.70712909441234
AgriNovus,2010,7,127.365244282,1134.6374077829166,127.365244282,100
AgriNovus,2011,7,124.981941872,1208.5230884851667,129.042547933,96.85328124247181
AgriNovus,2012,7,118.162152139,663.8794843111667,131.162152139,90.08860422919626
AgriNovus,2013,7,102.990970936,765.4399111586666,124.117501548,82.97860467016432
AgriNovus,2014,7,146.552380955,1858.0474987485,188.739517628,77.64795777630967
AgriNovus,2015,7,152,984.25,197.053184913,77.13653553334284
BioX,2010,7,31.575,230.8295,31.575,100
BioX,2011,7,36.646,174.99966666666666,35.169,104.19972134550315
BioX,2012,7,37.534,347.86566666666664,37.608,99.8032333546054
BioX,2013,7,42.314,248.73766666666668,50.28,84.15672235481304
BioX,2014,7,34.727,160.6045,49.278,70.47161004910913
BioX,2015,7,54,219,67.232,80.31889576392194
Conexus,2010,7,313,4506.333333333333,313,100
Conexus,2011,7,344,6062.5,378,91.005291005291
Conexus,2012,7,318,6481.916666666667,361,88.08864265927978
Conexus,2013,7,307,4414.333333333333,400,76.75
Conexus,2014,7,331,4981.916666666667,473,69.97885835095138
Conexus,2015,7,340,3540.1666666666665,528,64.39393939393939
Other,2010,7,2459,22189.166666666668,2459,100
Other,2011,7,2419,22237,2613,92.57558362035974
Other,2012,7,2439,24373.083333333332,2908,83.87207702888583
Other,2013,7,2236,17947.5,3048,73.35958005249343
Other,2014,7,2330,20062,3535,65.91230551626592
Other,2015,7,2483,20707,4311,57.59684527951752
TechPoint,2010,7,129,786.0833333333334,129,100
TechPoint,2011,7,143,777.8333333333334,160,89.375
TechPoint,2012,7,130,570.5833333333334,160,81.25
TechPoint,2013,7,91,712.0833333333333,160,56.875
TechPoint,2014,7,132,997.4166666666666,220,60
TechPoint,2015,7,156,688.5,289,53.979238754325266
Total,2010,7,3655,31580.833333333332,3655,100
Total,2011,7,3632,32246.833333333332,3917,92.72402348736277
Total,2012,7,3590,35021.083333333336,4268,84.11433926897844
Total,2013,7,3260,26166.5,4467,72.97962838594135
Total,2014,7,3552,29894.916666666668,5333,66.60416276017251
Total,2015,7,3787,28758.166666666668,6513,58.14524796560725
Advanced & Traded Industries,2009,8,888,7097.333333333333,888,100
Advanced & Traded Industries,2010,8,1027,9673.666666666666,1107,92.77326106594398
Advanced & Traded Industries,2011,8,1028,9833.75,1230,83.57723577235772
Advanced & Traded Industries,2012,8,956,9939.166666666666,1260,75.87301587301587
Advanced & Traded Industries,2013,8,920,8084.583333333333,1340,68.65671641791045
Advanced & Traded Industries,2014,8,1028,9306.333333333334,1680,61.1904761904762
AgriNovus,2009,8,82.359925792,941.2815101811667,82.359925792,100
AgriNovus,2010,8,129.23871367,1159.5674975584166,127.365244282,101.4709424054901
AgriNovus,2011,8,117.981941872,1248.7048517924165,129.042547933,91.42871383263234
AgriNovus,2012,8,112.162152139,639.3301907744167,131.162152139,85.5141138734407
AgriNovus,2013,8,98.990970936,794.7687616394167,124.117501548,79.75585207676549
AgriNovus,2014,8,152,2239.1666666666665,188.739517628,80.53427385545592
BioX,2009,8,31.315,521.9355833333333,31.315,100
BioX,2010,8,31.945,239.34258333333332,31.575,101.17181314330959
BioX,2011,8,33.43,197.52425,35.169,95.05530438738663
BioX,2012,8,33.534,297.92275,37.608,89.16719846841097
BioX,2013,8,41.314,296.5366666666667,50.28,82.16785998408909
BioX,2014,8,46,231.91666666666666,49.278,93.34794431592192
Conexus,2009,8,248,3765.1666666666665,248,100
Conexus,2010,8,295,5389.583333333333,313,94.24920127795528
Conexus,2011,8,309,6182.333333333333,378,81.74603174603175
Conexus,2012,8,300,6382.583333333333,361,83.10249307479224
Conexus,2013,8,291,4353.666666666667,400,72.75
Conexus,2014,8,310,5047.833333333333,473,65.53911205073996
Other,2009,8,1867,17836.666666666668,1867,100
Other,2010,8,2304,21782.75,2459,93.69662464416429
Other,2011,8,2229,22247.583333333332,2613,85.30424799081516
Other,2012,8,2238,21708.333333333332,2908,76.96011004126547
Other,2013,8,2069,18029.333333333332,3048,67.88057742782152
Other,2014,8,2160,20255.166666666668,3535,61.1032531824611
TechPoint,2009,8,86,560.4166666666666,86,100
TechPoint,2010,8,121,693,129,93.7984496124031
TechPoint,2011,8,130,790,160,81.25
TechPoint,2012,8,110,594.5833333333334,160,68.75
TechPoint,2013,8,90,686.6666666666666,160,56.25
TechPoint,2014,8,118,693.4166666666666,220,53.63636363636364
Total,2009,8,2811,25190.916666666668,2811,100
Total,2010,8,3421,31995.583333333332,3655,93.59781121751027
Total,2011,8,3328,32406.083333333332,3917,84.96298187388307
Total,2012,8,3278,32094.75,4268,76.80412371134021
Total,2013,8,3046,26330,4467,68.18894112379674
Total,2014,8,3287,29951.666666666668,5333,61.635102193887114
Advanced & Traded Industries,2008,9,1067,10631.833333333334,1067,100
Advanced & Traded Industries,2009,9,819,7125.583333333333,888,92.22972972972973
Advanced & Traded Industries,2010,9,939,9569.833333333334,1107,84.82384823848238
Advanced & Traded Industries,2011,9,939,9155,1230,76.34146341463415
Advanced & Traded Industries,2012,9,890,11046.083333333334,1260,70.63492063492063
Advanced & Traded Industries,2013,9,855,7982.083333333333,1340,63.80597014925373
AgriNovus,2008,9,89.359925792,963.9718804153333,89.359925792,100
AgriNovus,2009,9,78.359925792,989.7259707104166,82.359925792,95.1432690576944
AgriNovus,2010,9,123.178107609,1243.6004216671668,127.365244282,96.71249664961246
AgriNovus,2011,9,112.794805199,1245.1990596470832,129.042547933,87.40900346881249
AgriNovus,2012,9,104.162152139,591.468654482,131.162152139,79.41479339909995
AgriNovus,2013,9,102,964.0833333333334,124.117501548,82.1801911316701
BioX,2008,9,40.787,1028.5786666666668,40.787,100
BioX,2009,9,30.315,497.47749999999996,31.315,96.80664218425675
BioX,2010,9,28.683,241.44583333333333,31.575,90.84085510688837
BioX,2011,9,30.016000000000002,211.60033333333334,35.169,85.34789160908755
BioX,2012,9,27.534,272.295,37.608,73.21314613911933
BioX,2013,9,47,376.5833333333333,50.28,93.47653142402545
Conexus,2008,9,308,5362.916666666667,308,100
Conexus,2009,9,233,3804.25,248,93.95161290322581
Conexus,2010,9,279,5608.083333333333,313,89.1373801916933
Conexus,2011,9,289,5668.833333333333,378,76.45502645502646
Conexus,2012,9,288,7431.833333333333,361,79.77839335180056
Conexus,2013,9,273,4269.416666666667,400,68.25
Other,2008,9,2407,26380.833333333332,2407,100
Other,2009,9,1750,17798.833333333332,1867,93.73326191751474
Other,2010,9,2154,21212.833333333332,2459,87.59658397722652
Other,2011,9,2051,20791.5,2613,78.4921546115576
Other,2012,9,2100,22866.583333333332,2908,72.21458046767538
Other,2013,9,1899,17394.5,3048,62.303149606299215
TechPoint,2008,9,122,886.25,122,100
TechPoint,2009,9,78,529,86,90.69767441860465
TechPoint,2010,9,105,671.1666666666666,129,81.3953488372093
TechPoint,2011,9,116,782.9166666666666,160,72.5
TechPoint,2012,9,100,471.5833333333333,160,62.5
TechPoint,2013,9,84,674.9166666666666,160,52.5
Total,2008,9,3533,37312.5,3533,100
Total,2009,9,2622,25174,2811,93.27641408751333
Total,2010,9,3177,31350.833333333332,3655,86.92202462380301
Total,2011,9,3057,30280.333333333332,3917,78.04442175134031
Total,2012,9,3070,34318.75,4268,71.9306466729147
Total,2013,9,2810,25645.916666666668,4467,62.905753301992384
