cicp_initiative,cohort_year,Years_Since_Start,Establishments,Employment,Initial_Establishments,Survival_Rate
BioX,2015,5,50.56,269.5115,66.232,76.33772194709506
BioX,2016,5,42.207,161.07425,52.097,81.0161813540127
BioX,2017,5,49,247,55.541,88.22311445598747
Conexus,2012,5,341,2688.9166666666665,341,100
Conexus,2013,5,348,3520.0833333333335,387,89.92248062015504
Conexus,2014,5,378,2924.75,447,84.56375838926175
Conexus,2015,5,368,2284.75,504,73.01587301587301
Conexus,2016,5,363,2450.9166666666665,560,64.82142857142857
Conexus,2017,5,365,2941.3333333333335,573,63.6998254799302
Other,2012,5,2695,16403.666666666668,2695,100
Other,2013,5,2592,13723.25,2871,90.28213166144201
Other,2014,5,2635,14469.833333333334,3332,79.08163265306123
Other,2015,5,2819,13209.666666666666,4080,69.09313725490196
Other,2016,5,2791,15226.416666666666,4506,61.93963604083444
Other,2017,5,2800,16318.75,4667,59.995714591814874
TechPoint,2012,5,160,534.9166666666666,160,100
TechPoint,2013,5,130,646,159,81.76100628930818
TechPoint,2014,5,167,926.5833333333334,219,76.25570776255708
TechPoint,2015,5,187,505.1666666666667,285,65.6140350877193
TechPoint,2016,5,173,620.5,295,58.644067796610166
TechPoint,2017,5,158,616.5,286,55.24475524475524
Total,2012,5,4016,22573.166666666668,4016,100
Total,2013,5,3848,20770.583333333332,4264,90.2439024390244
Total,2014,5,4064,21864.25,5091,79.82714594382243
Total,2015,5,4308,19187.333333333332,6231,69.1381800674049
Total,2016,5,4140,21298.833333333332,6707,61.726554346205454
Total,2017,5,4070,22477.916666666668,6772,60.10041346721796
Advanced & Traded Industries,2011,6,1194,6895.333333333333,1194,100
Advanced & Traded Industries,2012,6,1125,5967.083333333333,1224,91.91176470588235
Advanced & Traded Industries,2013,6,1063,6959.25,1315,80.836501901140693
Advanced & Traded Industries,2014,6,1170,7100.666666666667,1642,71.2545676004872
Advanced & Traded Industries,2015,6,1289,5858.083333333333,2030,63.497536945812804
Advanced & Traded Industries,2016,6,1138,5722.666666666667,2096,54.293893129770986
AgriNovus,2011,6,123.042547933,718.8121270425834,123.042547933,100
AgriNovus,2012,6,120.101546078,561.2028201446667,127.101546078,94.49259256397697
AgriNovus,2013,6,106.990970936,716.338738495,122.117501548,87.61313454643984
AgriNovus,2014,6,143.678911567,890.2176449350834,181.739517628,79.05760587584166
AgriNovus,2015,6,142.996289426,670.3229096184167,188.992578852,75.6623833034102
AgriNovus,2016,6,141,839.3333333333334,174.612987016,80.75000743620518
BioX,2011,6,34.169,162.90008333333333,34.169,100
BioX,2012,6,36.488,143.5135,34.272,106.46591970121382
BioX,2013,6,46.314,239.65808333333334,50.28,92.11217183770883
BioX,2014,6,34.096000000000004,145.28291666666667,48.278,70.62430092381624
BioX,2015,6,47.56,268.64566666666667,66.232,71.80818939485447
BioX,2016,6,42,250.41666666666666,52.097,80.61884561491065
Conexus,2011,6,352,3594.0833333333335,352,100
Conexus,2012,6,316,2894.75,341,92.66862170087975
Conexus,2013,6,325,3711.9166666666665,387,83.97932816537468
Conexus,2014,6,338,2882.6666666666665,447,75.6152125279642
Conexus,2015,6,343,2397.0833333333335,504,68.05555555555556
Conexus,2016,6,337,2367.9166666666665,560,60.17857142857142
Other,2011,6,2453,15219.916666666666,2453,100
Other,2012,6,2449,16276.25,2695,90.87198515769944
Other,2013,6,2314,13830.166666666666,2871,80.59909439219784
Other,2014,6,2362,13550.5,3332,70.88835534213686
Other,2015,6,2584,14362.083333333334,4080,63.33333333333333
Other,2016,6,2520,15370.916666666666,4506,55.9254327563249
TechPoint,2011,6,157,771.9166666666666,157,100
TechPoint,2012,6,147,563.5,160,91.875
TechPoint,2013,6,105,645.1666666666667,159,66.0377358490566
TechPoint,2014,6,144,927.1666666666666,219,65.75342465753424
TechPoint,2015,6,170,539.0833333333334,285,59.64912280701754
TechPoint,2016,6,159,694.0833333333334,295,53.898305084745765
Total,2011,6,3718,22436.833333333332,3718,100
Total,2012,6,3666,22634.083333333332,4016,91.28486055776892
Total,2013,6,3440,21041.083333333332,4264,80.67542213883677
Total,2014,6,3623,20943.75,5091,71.16480062856022
Total,2015,6,3970,20508.25,6231,63.71368961643395
Total,2016,6,3742,21385.333333333332,6707,55.792455643357684
Advanced & Traded Industries,2010,7,1080,6989.5,1080,100
Advanced & Traded Industries,2011,7,1103,6988.916666666667,1194,92.3785594639866
Advanced & Traded Industries,2012,7,1028,6053,1224,83.98692810457517
Advanced & Traded Industries,2013,7,944,6526.416666666667,1315,71.787072243346
Advanced & Traded Industries,2014,7,1099,7557.583333333333,1642,66.93057247259439
Advanced & Traded Industries,2015,7,1162,5746,2030,57.24137931034483
AgriNovus,2010,7,121.304638221,753.6346139691667,121.304638221,100
AgriNovus,2011,7,119.981941872,662.6064218184999,123.042547933,97.51256283910296
AgriNovus,2012,7,114.101546078,582.8568525755,127.101546078,89.7719576188144
AgriNovus,2013,7,100.990970936,629.273244492,122.117501548,82.69983389424658
AgriNovus,2014,7,141.552380955,936.9641654151667,181.739517628,77.88750779274189
AgriNovus,2015,7,145,715.4166666666666,188.992578852,76.72258925761811
BioX,2010,7,31.575,230.8295,31.575,100
BioX,2011,7,35.646,161.99966666666666,34.169,104.32263162515731
BioX,2012,7,34.488,123.98841666666667,34.272,100.63025210084034
BioX,2013,7,42.314,248.73766666666668,50.28,84.15672235481304
BioX,2014,7,34.727,160.6045,48.278,71.93131447035917
BioX,2015,7,54,219,66.232,81.53158594033097
Conexus,2010,7,298,3413.3333333333335,298,100
Conexus,2011,7,318,3658.6666666666665,352,90.3409090909091
Conexus,2012,7,300,3106.8333333333335,341,87.97653958944281
Conexus,2013,7,295,3259.1666666666665,387,76.22739018087856
Conexus,2014,7,307,3165.6666666666665,447,68.68008948545862
Conexus,2015,7,320,2337,504,63.49206349206349
Other,2010,7,2290,15584.583333333334,2290,100
Other,2011,7,2271,14903.25,2453,92.58051365674685
Other,2012,7,2261,16162.416666666666,2695,83.8961038961039
Other,2013,7,2097,12810.5,2871,73.04075235109718
Other,2014,7,2185,13830.083333333334,3332,65.57623049219687
Other,2015,7,2342,14993,4080,57.40196078431372
TechPoint,2010,7,128,760.5,128,100
TechPoint,2011,7,140,743.9166666666666,157,89.171974522293
TechPoint,2012,7,130,570.5833333333334,160,81.25
TechPoint,2013,7,90,697.6666666666666,159,56.60377358490566
TechPoint,2014,7,131,997.4166666666666,219,59.817351598173516
TechPoint,2015,7,153,583.5833333333334,285,53.68421052631579
Total,2010,7,3457,22962.083333333332,3457,100
Total,2011,7,3446,22188.083333333332,3718,92.68423883808498
Total,2012,7,3376,22617.333333333332,4016,84.06374501992032
Total,2013,7,3100,19575.25,4264,72.70168855534709
Total,2014,7,3376,21691,5091,66.313101551758
Total,2015,7,3606,21090.583333333332,6231,57.87193066923447
Advanced & Traded Industries,2009,8,851,5409.75,851,100
Advanced & Traded Industries,2010,8,1001,7805.666666666667,1080,92.68518518518518
Advanced & Traded Industries,2011,8,994,6997.75,1194,83.24958123953098
Advanced & Traded Industries,2012,8,927,5948.416666666667,1224,75.73529411764706
Advanced & Traded Industries,2013,8,901,6765.416666666667,1315,68.5171102661597
Advanced & Traded Industries,2014,8,1000,7347.333333333333,1642,60.90133982947626
AgriNovus,2009,8,79.23339518,803.5991232046666,79.23339518,100
AgriNovus,2010,8,123.178107609,785.1899479728334,121.304638221,101.54443343261681
AgriNovus,2011,8,112.981941872,687.7048517924167,123.042547933,91.82347388768454
AgriNovus,2012,8,108.101546078,552.4642136173334,127.101546078,85.0513226736518
AgriNovus,2013,8,96.990970936,577.35209497275,122.117501548,79.42430012611773
AgriNovus,2014,8,146,1154.8333333333333,181.739517628,80.3347570773492
BioX,2009,8,29.685,321.29525,29.685,100
BioX,2010,8,31.945,239.34258333333332,31.575,101.17181314330959
BioX,2011,8,32.43,184.44091666666668,34.169,94.91059147180194
BioX,2012,8,30.488,101.054,34.272,88.95891690009337
BioX,2013,8,41.314,296.5366666666667,50.28,82.16785998408909
BioX,2014,8,46,231.91666666666666,48.278,95.28149467666432
Conexus,2009,8,228,2775.75,228,100
Conexus,2010,8,280,4221.916666666667,298,93.95973154362416
Conexus,2011,8,285,3689.5,352,80.9659090909091
Conexus,2012,8,283,3083.6666666666665,341,82.99120234604106
Conexus,2013,8,280,3280.5,387,72.3514211886305
Conexus,2014,8,288,3250.4166666666665,447,64.42953020134227
Other,2009,8,1715,11429.75,1715,100
Other,2010,8,2145,15535.083333333334,2290,93.66812227074236
Other,2011,8,2091,14733.75,2453,85.2425601304525
Other,2012,8,2069,14581.833333333334,2695,76.77179962894249
Other,2013,8,1941,13001.916666666666,2871,67.60710553814002
Other,2014,8,2023,13972.416666666666,3332,60.71428571428571
TechPoint,2009,8,82,502.8333333333333,82,100
TechPoint,2010,8,120,669.8333333333334,128,93.75
TechPoint,2011,8,127,753.4166666666666,157,80.89171974522293
TechPoint,2012,8,110,594.5833333333334,160,68.75
TechPoint,2013,8,89,672.9166666666666,159,55.9748427672956
TechPoint,2014,8,118,693.4166666666666,219,53.88127853881278
Total,2009,8,2621,17084.416666666668,2621,100
Total,2010,8,3234,23746.25,3457,93.54932021984379
Total,2011,8,3154,22040.5,3718,84.8305540613233
Total,2012,8,3077,20922.333333333332,4016,76.61852589641434
Total,2013,8,2898,19981.416666666668,4264,67.96435272045028
Total,2014,8,3122,21709.916666666668,5091,61.3239049302691
Advanced & Traded Industries,2008,9,1034,7483.5,1034,100
Advanced & Traded Industries,2009,9,784,5455.166666666667,851,92.12690951821386
Advanced & Traded Industries,2010,9,916,7935.333333333333,1080,84.81481481481481
Advanced & Traded Industries,2011,9,906,6804.083333333333,1194,75.87939698492463
Advanced & Traded Industries,2012,9,861,6316.666666666667,1224,70.34313725490196
Advanced & Traded Industries,2013,9,836,6688.083333333333,1315,63.57414448669202
AgriNovus,2008,9,83.299319731,508.10099034133333,83.299319731,100
AgriNovus,2009,9,75.23339518,840.7088151659167,79.23339518,94.95162362926274
AgriNovus,2010,9,117.178107609,770.3504216671666,121.304638221,96.5982087144252
AgriNovus,2011,9,107.794805199,642.36572631375,123.042547933,87.60774789684719
AgriNovus,2012,9,101.101546078,540.5682869065,127.101546078,79.54391523762877
AgriNovus,2013,9,99,610.4166666666666,122.117501548,81.06946076118881
BioX,2008,9,38.787,401.57866666666666,38.787,100
BioX,2009,9,28.685,341.34666666666664,29.685,96.63129526696986
BioX,2010,9,28.683,241.44583333333333,31.575,90.84085510688837
BioX,2011,9,29.016000000000002,198.517,34.169,84.91907869706459
BioX,2012,9,24.488,86.6385,34.272,71.45191409897292
BioX,2013,9,47,376.5833333333333,50.28,93.47653142402545
Conexus,2008,9,293,3781.8333333333335,293,100
Conexus,2009,9,213,2764.3333333333335,228,93.42105263157895
Conexus,2010,9,265,4362.083333333333,298,88.9261744966443
Conexus,2011,9,266,3633.4166666666665,352,75.56818181818183
Conexus,2012,9,272,3525.5,341,79.76539589442815
Conexus,2013,9,262,3209.6666666666665,387,67.70025839793283
Other,2008,9,2185,15326.833333333334,2185,100
Other,2009,9,1599,11627.583333333334,1715,93.23615160349854
Other,2010,9,2003,15418.583333333334,2290,87.46724890829695
Other,2011,9,1922,13711.75,2453,78.35303709743172
Other,2012,9,1942,14869.833333333334,2695,72.05936920222634
Other,2013,9,1785,12761.75,2871,62.17345872518286
TechPoint,2008,9,120,608.4166666666666,120,100
TechPoint,2009,9,75,508.1666666666667,82,91.46341463414635
TechPoint,2010,9,104,661.8333333333334,128,81.25
TechPoint,2011,9,113,772.75,157,71.97452229299363
TechPoint,2012,9,100,471.5833333333333,160,62.5
TechPoint,2013,9,83,664,159,52.20125786163522
Total,2008,9,3275,23074.166666666668,3275,100
Total,2009,9,2435,17317.333333333332,2621,92.90347195726821
Total,2010,9,3001,23741.333333333332,3457,86.80937228811108
Total,2011,9,2893,20834.083333333332,3718,77.81065088757396
Total,2012,9,2881,21575.333333333332,4016,71.73804780876493
Total,2013,9,2676,19719.166666666668,4264,62.7579737335835
